protein_id,sequence_length,topology_evidence_vector_kind,protein_regime_signature_kind,regime_detection_used,protein_regime,reference_regime,regime_accuracy_match,regime_confidence,regime_reason,regime_allowed_gate_path,regime_specific_warning,sequence_complexity,hydrophobic_fraction,hydrophobic_run_fraction,low_complexity_pressure,membrane_pressure,repeat_pressure,compact_single_domain_pressure,multidomain_modular_pressure,intrinsically_disordered_pressure,coiled_coil_or_fibrous_pressure,hierarchical_predicted_fold_class,hierarchical_gate_path,hierarchical_confidence,hierarchical_abstained,hierarchical_high_confidence_wrong,regime_router_changed_prediction,predicted_fold_class,structure_fold_class,label_fold_class,prediction_vs_structure_score,prediction_vs_label_score,prediction_structure_class_match,prediction_label_class_match,confidence,uncertainty_radius,claim_strength,forced_prediction,abstained,high_confidence_wrong,gate_path,gate_decision_reason,structure_label_disagreement,ambiguous_reference,possible_bad_row,structure_source_quality,length_bucket,compactness_bucket,disorder_bucket,segmentation_bucket,contact_density_bucket,long_range_contact_bucket,folding_problem_solved,folding_solution_claim_created,manual_review_required,manual_review_reasons,failure_cohort
pdb_1MBN_A_myoglobin,153,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.682968,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.90672,0.424837,0.019608,0.461434,1.0,0.192957,0.530876,0.280365,0.384484,0.442975,alpha_rich,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength,0.5991,False,False,False,alpha_rich,alpha_rich,alpha_rich,0.827781,0.842046,True,True,0.5991,0.336281,medium,True,False,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:alpha_periodic_compact | confidence_gate:forced_low_claim_strength | regime_router:accepted_compact_single_domain,"alpha interpretation requires local alpha pressure, periodic support, compact core, and limited disorder pressure; compact-single-domain regime accepts secondary-structure gate output",False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,mid,False,False,False,,correct_forced
pdb_1PGA_A_protein_g_b1,56,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,small_peptide_or_fragment,small_peptide_or_fragment,True,0.871111,sequence length is below the broad-fold context needed by the current gates,abstain_until_fragment_context_exists,,0.829056,0.375,0.053571,0.556134,1.0,0.157143,0.569434,0.270363,0.301441,0.258183,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,0.248675,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.712279,0.87468,False,False,0.248675,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for small_peptide_or_fragment",False,True,False,short_coordinate_fragment,fragment_lt70,high,low,mid,high,mid,False,False,True,ambiguous_reference,abstained_on_regime_risk
pdb_4AKE_A_adenylate_kinase,214,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,multidomain_modular,False,0.647211,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.927019,0.406542,0.028037,0.420092,1.0,0.207184,0.445741,0.265807,0.480335,0.345102,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.285531,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.881219,0.919428,False,False,0.285531,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,mid,False,False,False,,abstained_unresolved
pdb_1UBQ_A_ubiquitin,76,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,intrinsically_disordered,compact_single_domain,False,0.708449,"local disorder, breaker, and disorder-run evidence dominate compact closure",disorder_gate_or_abstain,,0.906363,0.342105,0.052632,0.448335,1.0,0.144524,0.450218,0.197819,0.521123,0.170184,insufficient_topology_evidence,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,0.0,True,False,False,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.742105,0.909614,False,False,0.0,0.7872,abstained,False,True,False,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,True,True,False,coordinate_contact_graph,small_70_139,low,mid,low,mid,mid,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_2TRX_A_thioredoxin,108,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.694252,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.91742,0.462963,0.037037,0.435283,1.0,0.171531,0.557743,0.173711,0.374743,0.302419,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,0.283008,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.812706,0.91269,False,False,0.283008,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain",False,False,False,coordinate_contact_graph,small_70_139,mid,low,low,mid,high,False,False,False,,abstained_unresolved
pdb_3CHY_A_chey_response_regulator,128,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,membrane_like,compact_single_domain,False,0.9,hydrophobic enrichment and cluster topology resemble a membrane-like regime,abstain_until_membrane_gate_exists,,0.903743,0.484375,0.039062,0.415262,1.0,0.25781,0.576398,0.292882,0.286112,0.475334,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained,0.0,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.834696,0.874621,False,False,0.0,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score; regime router kept abstention for membrane_like",False,False,False,coordinate_contact_graph,small_70_139,high,low,mid,mid,mid,False,False,False,,abstained_on_regime_risk
pdb_2CI2_I_chymotrypsin_inhibitor_2,83,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,intrinsically_disordered,compact_single_domain,False,0.711007,"local disorder, breaker, and disorder-run evidence dominate compact closure",disorder_gate_or_abstain,,0.905194,0.385542,0.048193,0.428525,1.0,0.220937,0.454632,0.15018,0.527518,0.253893,insufficient_topology_evidence,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,0.0,True,False,False,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.680904,0.910876,False,False,0.0,0.7872,abstained,False,True,False,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,True,True,False,short_coordinate_fragment,small_70_139,low,mid,low,high,mid,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_1FKB_A_fk506_binding_protein,107,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,ambiguous_regime,compact_single_domain,False,0.730604,compact small-domain beta pressure coexists with high breaker/disorder pressure,abstain_until_regime_conflict_resolved,folded_small_domain_may_mimic_disorder_from_sequence,0.948788,0.364486,0.028037,0.4237,1.0,0.176559,0.42897,0.102607,0.634734,0.139011,disordered_flexible,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,0.613689,False,True,True,insufficient_topology_evidence,beta_rich,alpha_beta_mixed,0.645875,0.88695,False,False,0.0,0.60694,abstained,False,True,False,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_ambiguous_regime,compact small-domain beta pressure coexists with high breaker/disorder pressure; regime router abstained before accepting a broad fold-class claim,True,True,False,coordinate_contact_graph,small_70_139,low,mid,low,mid,high,False,False,True,structure_label_disagreement;ambiguous_reference;folded_small_domain_may_mimic_disorder_from_sequence,regime_prevented_high_confidence_wrong
pdb_2RN2_A_ribonuclease_a,155,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.666088,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.964451,0.4,0.051613,0.371828,1.0,0.171395,0.490686,0.285913,0.419598,0.374776,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.318632,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.828308,0.914081,False,False,0.318632,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,high,False,False,False,,abstained_unresolved
pdb_1BTA_A_barstar,89,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,compact_single_domain,True,0.691161,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.929099,0.438202,0.033708,0.394049,1.0,0.181988,0.550384,0.196354,0.341933,0.335554,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained,0.0,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,alpha_beta_mixed,0.753611,0.920935,False,False,0.0,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:abstained_alpha_mixed_ambiguity | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,"alpha-rich evidence was not forced because beta pressure, pairing support, and mixed secondary-structure score remain too close to the alpha score; regime router kept abstention for compact_single_domain",False,False,False,coordinate_contact_graph,small_70_139,mid,low,mid,mid,mid,False,False,False,,abstained_unresolved
pdb_1CLL_A_calmodulin,148,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,multidomain_modular,False,0.677888,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.905044,0.364865,0.02027,0.458527,1.0,0.32171,0.518781,0.284513,0.360541,0.425415,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,0.407423,False,False,True,insufficient_topology_evidence,multidomain_boundary,multidomain_boundary,0.778803,0.943522,False,False,0.0,0.612211,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_compact_domain_conflict,compact-single-domain regime conflicts with boundary/disorder class,False,False,False,coordinate_contact_graph,medium_140_259,mid,low,mid,mid,low,False,False,False,,abstained_unresolved
pdb_1B57_A_fructose_bisphosphate_aldolase,358,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,multidomain_modular,False,0.626929,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.958118,0.418994,0.011173,0.388644,1.0,0.198762,0.39745,0.459568,0.38667,0.363631,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.301001,True,False,False,insufficient_topology_evidence,alpha_rich,multidomain_boundary,0.872049,0.930341,False,False,0.301001,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,True,True,False,coordinate_contact_graph,large_260_419,mid,low,mid,low,high,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_1AON_A_groel,547,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,multidomain_modular,multidomain_modular,True,0.746434,length and sequence-derived boundary/closure evidence support a modular regime,segmentation_gate_or_abstain,,0.897444,0.447898,0.009141,0.434601,1.0,0.38405,0.31242,0.634367,0.397628,0.405412,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.329401,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.853765,0.924561,False,False,0.329401,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular,True,True,True,sparse_long_range_contact_graph,very_large_420_plus,mid,low,mid,low,high,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row,abstained_on_structure_label_disagreement
pdb_1IGT_B_igg2a_heavy_chain,444,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,multidomain_modular,multidomain_modular,True,0.72397,length and sequence-derived boundary/closure evidence support a modular regime,segmentation_gate_or_abstain,,0.958717,0.378378,0.013514,0.361375,1.0,0.240676,0.317983,0.58088,0.415328,0.293814,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.274498,True,False,False,insufficient_topology_evidence,beta_rich,multidomain_boundary,0.847824,0.913992,False,False,0.274498,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular,True,True,True,sparse_long_range_contact_graph,very_large_420_plus,mid,low,mid,low,high,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row,abstained_on_structure_label_disagreement
pdb_1GTR_A_glutaminyl_trna_synthetase,553,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,multidomain_modular,multidomain_modular,True,0.742617,length and sequence-derived boundary/closure evidence support a modular regime,segmentation_gate_or_abstain,long_modular_secondary_structure_ambiguous,0.971632,0.405063,0.009042,0.334973,1.0,0.224293,0.361323,0.625279,0.34724,0.38539,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,0.643383,False,True,True,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.808937,0.930786,False,False,0.0,0.605738,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_long_modular_ambiguity,long_modular_secondary_structure_ambiguous; long modular sequence has ambiguous secondary-structure pressure,True,True,True,sparse_long_range_contact_graph,very_large_420_plus,mid,low,mid,low,high,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row;long_modular_secondary_structure_ambiguous,regime_prevented_high_confidence_wrong
pdb_1E4M_M_myrosinase,501,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,multidomain_modular,multidomain_modular,True,0.725353,length and sequence-derived boundary/closure evidence support a modular regime,segmentation_gate_or_abstain,,0.96748,0.399202,0.011976,0.350399,1.0,0.230975,0.358187,0.584174,0.360467,0.347734,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin,0.261291,True,False,False,insufficient_topology_evidence,alpha_rich,multidomain_boundary,0.86412,0.932019,False,False,0.261291,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:mixed_supported_but_weak | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,"mixed alpha/beta evidence exists, but the confidence gate must decide whether the local signals are stable enough; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular",True,True,True,sparse_long_range_contact_graph,very_large_420_plus,mid,low,mid,low,high,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row,abstained_on_structure_label_disagreement
pdb_1F88_A_rhodopsin,348,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,membrane_like,membrane_like,True,0.9,hydrophobic enrichment and cluster topology resemble a membrane-like regime,abstain_until_membrane_gate_exists,,0.957495,0.545977,0.04023,0.322031,1.0,0.210405,0.454043,0.587485,0.263401,0.448738,multidomain_boundary,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength,0.832473,False,True,True,insufficient_topology_evidence,alpha_rich,multidomain_boundary,0.778361,0.89096,False,False,0.0,0.59,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_closure_supported | segmentation_gate:folded_multidomain_supported | secondary_structure_gate:skipped_by_segmentation_gate | confidence_gate:forced_low_claim_strength | regime_router:abstained_membrane_like,hydrophobic enrichment and cluster topology resemble a membrane-like regime; regime router abstained before accepting a broad fold-class claim,True,True,True,coordinate_contact_graph,large_260_419,high,low,high,low,mid,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row,regime_prevented_high_confidence_wrong
pdb_1GSA_A_glutathione_synthetase,316,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,compact_single_domain,multidomain_modular,False,0.624272,compact closure is the least risky broad regime under current gates,secondary_structure_gate_or_abstain,,0.954529,0.424051,0.015823,0.381228,1.0,0.212735,0.391124,0.459875,0.41936,0.350828,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.294517,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.875634,0.922492,False,False,0.294517,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for compact_single_domain,True,True,False,coordinate_contact_graph,large_260_419,mid,low,mid,low,high,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_1TUP_A_p53_core_dna_complex,219,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,intrinsically_disordered,multidomain_modular,False,0.713057,"local disorder, breaker, and disorder-run evidence dominate compact closure",disorder_gate_or_abstain,,0.960457,0.342466,0.022831,0.401439,1.0,0.191532,0.387578,0.295465,0.532643,0.280067,insufficient_topology_evidence,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained,0.0,True,False,False,insufficient_topology_evidence,beta_rich,multidomain_boundary,0.801652,0.865148,False,False,0.0,0.7872,abstained,False,True,False,disorder_gate:foldable_not_ruled_out | compactness_gate:weak_closure_abstain | segmentation_gate:not_evaluated | secondary_structure_gate:not_evaluated | confidence_gate:abstained | regime_router:kept_hierarchy_abstention,compactness and closure are too weak to force a fold class; regime router kept abstention for intrinsically_disordered,True,True,False,coordinate_contact_graph,medium_140_259,low,mid,mid,mid,high,False,False,True,structure_label_disagreement;ambiguous_reference,abstained_on_structure_label_disagreement
pdb_1LFG_A_lactoferrin,691,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,multidomain_modular,multidomain_modular,True,0.720816,length and sequence-derived boundary/closure evidence support a modular regime,segmentation_gate_or_abstain,,0.957856,0.412446,0.01013,0.377473,1.0,0.331151,0.338076,0.573372,0.403807,0.35591,insufficient_topology_evidence,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin,0.300232,True,False,False,insufficient_topology_evidence,alpha_beta_mixed,multidomain_boundary,0.820752,0.930678,False,False,0.300232,0.7872,abstained,False,True,False,disorder_gate:foldable_candidate | compactness_gate:compact_or_borderline_supported | segmentation_gate:not_folded_multidomain | secondary_structure_gate:weak_secondary_fallback | confidence_gate:abstained_low_decision_margin | regime_router:kept_hierarchy_abstention,secondary structure evidence was too weakly separated for a strong gate; fallback remains subject to abstention; confidence gate abstained on low decision margin; regime router kept abstention for multidomain_modular,True,True,True,sparse_long_range_contact_graph,very_large_420_plus,mid,low,mid,low,high,False,False,True,structure_label_disagreement;ambiguous_reference;possible_bad_row,abstained_on_structure_label_disagreement
disprot_P37840_alpha_synuclein,140,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,intrinsically_disordered,intrinsically_disordered,True,0.7409,"local disorder, breaker, and disorder-run evidence dominate compact closure",disorder_gate_or_abstain,,0.845116,0.385714,0.035714,0.545878,1.0,0.341042,0.433252,0.126655,0.60225,0.304565,disordered_flexible,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,0.520625,False,False,False,disordered_flexible,disordered_flexible,disordered_flexible,0.69822,0.77322,True,True,0.520625,0.360765,weak,True,False,False,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:accepted_disorder_gate,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak; sequence regime agrees with disorder/flexibility routing,False,False,False,curated_disorder_reference,medium_140_259,low,mid,low,low,low,False,False,False,,correct_forced
disprot_P10636_tau,758,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,intrinsically_disordered,intrinsically_disordered,True,0.80725,"local disorder, breaker, and disorder-run evidence dominate compact closure",disorder_gate_or_abstain,,0.901821,0.253298,0.005277,0.50604,1.0,0.429343,0.202214,0.458679,0.768126,0.172179,disordered_flexible,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,0.763253,False,False,False,disordered_flexible,disordered_flexible,disordered_flexible,0.759088,0.834087,True,True,0.763253,0.285065,strong,True,False,False,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:accepted_disorder_gate,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak; sequence regime agrees with disorder/flexibility routing,False,False,False,curated_disorder_reference,very_large_420_plus,low,high,low,low,low,False,False,False,,correct_forced
disprot_P04637_p53_full_length,393,order_aware_motif_evidence_vector,sequence_only_protein_regime_tag,True,intrinsically_disordered,intrinsically_disordered,True,0.747422,"local disorder, breaker, and disorder-run evidence dominate compact closure",disorder_gate_or_abstain,,0.954468,0.3257,0.012723,0.442435,1.0,0.236298,0.27041,0.458811,0.618554,0.273911,disordered_flexible,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength,0.596958,False,False,False,disordered_flexible,disordered_flexible,disordered_flexible,0.729364,0.804364,True,True,0.596958,0.336949,medium,True,False,False,disorder_gate:disordered_or_flexible | compactness_gate:not_compact_enough_for_folded_domain | segmentation_gate:flexible_segmentation_not_multidomain | secondary_structure_gate:skipped_by_disorder_gate | confidence_gate:forced_low_claim_strength | regime_router:accepted_disorder_gate,disorder pressure and breaker/turn evidence are prioritized over secondary-structure interpretation because compact closure is weak; sequence regime agrees with disorder/flexibility routing,False,False,False,curated_disorder_reference,large_260_419,low,mid,low,low,low,False,False,False,,correct_forced
